teff,logg,mh,alpha,vmic,vsini,Li,C,N,O,Na,Al,Mg,Si,Ti,K,Ca,Mn,Cr,Ni,S,V,Sc,Ba,La,Eu,Y,Zn,Zr,Cu
5210,1.97,-2.5,-0.1,1.36,9,-13.936,-6.466,-6.256,-6.176,-8.336,-8.186,-7.366,-7.086,-9.566,-9.646,-8.026,-9.496,-8.546,-8.646,-7.366,-11.026,-11.736,-12.356,-12.866,-13.656,-12.806,-10.326,-11.546,-10.466
5790,4.52,-2.49,-0.22,1.0,5,-13.926,-6.516,-6.816,-5.746,-8.436,-7.726,-7.336,-6.756,-9.216,-9.086,-8.256,-8.886,-9.296,-8.166,-7.346,-10.056,-11.946,-11.976,-13.276,-13.506,-12.336,-9.746,-11.516,-10.246
6700,2.63,-2.5,-0.06,2.3,5,-13.926,-5.906,-6.636,-5.966,-8.146,-7.956,-6.916,-6.956,-9.306,-9.456,-8.396,-8.786,-8.966,-8.186,-7.266,-10.266,-11.946,-11.936,-13.096,-13.816,-11.926,-9.716,-12.066,-9.816
6130,3.32,-2.5,-0.16,1.66,7,-13.926,-6.126,-6.796,-5.886,-8.636,-8.456,-6.886,-6.986,-9.426,-9.476,-8.616,-9.056,-9.106,-8.546,-7.616,-10.886,-11.376,-12.776,-13.566,-14.156,-12.176,-10.076,-12.016,-10.596
7720,4.2,-2.49,0.0,2.26,3,-13.916,-6.476,-6.326,-5.606,-8.486,-8.196,-7.146,-7.286,-9.126,-9.416,-8.006,-8.636,-8.916,-8.216,-7.006,-10.406,-11.576,-12.686,-13.626,-14.056,-12.706,-10.146,-12.326,-9.896
4420,0.37,-2.49,0.29,1.56,5,-13.916,-5.736,-6.406,-5.726,-8.176,-8.396,-6.866,-6.656,-9.936,-9.446,-7.716,-9.196,-8.946,-7.966,-6.996,-11.016,-11.926,-12.246,-13.486,-13.736,-12.266,-9.946,-11.936,-10.356
6830,3.19,-2.49,-0.38,2.38,8,-13.916,-6.266,-7.176,-5.966,-8.626,-8.516,-7.296,-7.436,-9.436,-9.146,-8.616,-9.256,-8.696,-8.386,-7.296,-10.316,-11.056,-12.426,-13.316,-13.656,-11.996,-10.386,-12.026,-9.806
5120,2.85,-2.47,0.34,1.23,3,-13.906,-6.056,-6.506,-6.216,-8.036,-7.916,-6.556,-6.996,-9.606,-9.556,-7.896,-9.086,-9.266,-8.466,-7.646,-10.546,-11.156,-12.196,-13.526,-14.346,-12.376,-10.336,-11.816,-10.346
5770,1.34,-2.47,-0.06,1.66,3,-13.906,-5.916,-6.876,-5.746,-8.596,-8.356,-7.086,-7.356,-9.566,-9.796,-8.146,-9.046,-9.056,-8.216,-7.026,-10.656,-11.546,-12.806,-13.766,-13.766,-11.866,-10.006,-11.476,-10.176
5430,1.56,-2.47,0.04,1.47,5,-13.906,-5.966,-7.176,-5.886,-8.546,-7.976,-6.686,-6.506,-9.956,-9.656,-8.356,-9.026,-9.046,-8.406,-7.026,-10.966,-11.546,-12.596,-13.066,-13.926,-12.096,-10.286,-12.226,-10.726
4310,4.22,-2.5,-0.25,0.87,5,-13.906,-5.916,-6.346,-5.986,-8.026,-7.766,-7.136,-6.526,-9.176,-9.366,-8.546,-9.236,-9.026,-8.796,-7.086,-10.196,-11.776,-12.096,-13.306,-14.296,-12.006,-10.116,-12.416,-10.166
4520,0.85,-2.5,0.08,1.48,6,-13.906,-6.316,-6.226,-6.296,-8.586,-7.896,-7.086,-7.056,-9.796,-9.776,-7.936,-8.576,-8.956,-8.806,-7.216,-10.306,-11.206,-12.776,-13.556,-14.276,-12.286,-9.856,-11.526,-9.976
4930,4.35,-2.48,-0.34,0.85,8,-13.906,-6.476,-6.196,-5.736,-8.436,-8.406,-7.366,-6.636,-9.306,-9.826,-8.446,-8.956,-8.896,-8.586,-7.356,-10.876,-11.396,-12.646,-13.326,-14.466,-12.356,-9.996,-11.716,-10.226
